,TEAM_ID,TEAM_ABBREVIATION,SEASON,PTS_ave,PTS_home_ave,PTS_away_ave,PTS_allowed_ave,PTS_home_allowed_ave,PTS_away_allowed_ave,PTS_tot,PTS_home_tot,PTS_away_tot,PTS_allowed_tot,PTS_home_allowed_tot,PTS_away_allowed_tot,AST_ave,AST_home_ave,AST_away_ave,AST_allowed_ave,AST_home_allowed_ave,AST_away_allowed_ave,AST_tot,AST_home_tot,AST_away_tot,AST_allowed_tot,AST_home_allowed_tot,AST_away_allowed_tot,REB_ave,REB_home_ave,REB_away_ave,REB_allowed_ave,REB_home_allowed_ave,REB_away_allowed_ave,REB_tot,REB_home_tot,REB_away_tot,REB_allowed_tot,REB_home_allowed_tot,REB_away_allowed_tot,WINS,LOSSES,WIN_PCT,WINS_HOME,LOSSES_HOME,WIN_PCT_HOME,WINS_AWAY,LOSSES_AWAY,WIN_PCT_AWAY
0,1610612737.0,ATL,2003.0,92.8170731707317,96.17073170731707,89.46341463414635,97.46341463414635,95.4390243902439,99.48780487804878,7611.0,3943.0,3668.0,7992.0,3913.0,4079.0,20.097560975609756,20.29268292682927,19.902439024390244,21.98780487804878,20.317073170731707,23.658536585365855,1648.0,832.0,816.0,1803.0,833.0,970.0,42.71951219512195,44.36585365853659,41.073170731707314,43.08536585365854,41.390243902439025,44.78048780487805,3503.0,1819.0,1684.0,3533.0,1697.0,1836.0,28.0,54.0,0.34146341463414637,18.0,23.0,0.43902439024390244,10.0,31.0,0.24390243902439024
0,1610612738.0,BOS,2003.0,95.2560975609756,96.0,94.51219512195122,96.70731707317073,95.85365853658537,97.5609756097561,7811.0,3936.0,3875.0,7930.0,3930.0,4000.0,20.524390243902438,20.682926829268293,20.365853658536587,22.951219512195124,22.146341463414632,23.75609756097561,1683.0,848.0,835.0,1882.0,908.0,974.0,40.13414634146341,41.8780487804878,38.390243902439025,43.81707317073171,43.0,44.63414634146341,3291.0,1717.0,1574.0,3593.0,1763.0,1830.0,36.0,46.0,0.43902439024390244,19.0,22.0,0.4634146341463415,17.0,24.0,0.4146341463414634
0,1610612740.0,NOP,2003.0,91.8170731707317,93.65853658536585,89.97560975609755,91.91463414634147,90.1951219512195,93.63414634146342,7529.0,3840.0,3689.0,7537.0,3698.0,3839.0,20.926829268292682,22.975609756097562,18.878048780487806,21.829268292682926,21.902439024390244,21.75609756097561,1716.0,942.0,774.0,1790.0,898.0,892.0,42.792682926829265,42.5609756097561,43.02439024390244,42.0609756097561,41.829268292682926,42.292682926829265,3509.0,1745.0,1764.0,3449.0,1715.0,1734.0,41.0,41.0,0.5,25.0,16.0,0.6097560975609756,16.0,25.0,0.3902439024390244
0,1610612741.0,CHI,2003.0,89.6951219512195,88.90243902439025,90.48780487804878,96.04878048780488,93.6829268292683,98.41463414634147,7355.0,3645.0,3710.0,7876.0,3841.0,4035.0,21.865853658536587,22.75609756097561,20.975609756097562,23.048780487804876,22.121951219512194,23.975609756097562,1793.0,933.0,860.0,1890.0,907.0,983.0,43.5,45.65853658536585,41.34146341463415,45.03658536585366,45.951219512195124,44.1219512195122,3567.0,1872.0,1695.0,3693.0,1884.0,1809.0,23.0,59.0,0.2804878048780488,14.0,27.0,0.34146341463414637,9.0,32.0,0.21951219512195122
0,1610612742.0,DAL,2003.0,105.1951219512195,109.48780487804878,100.90243902439025,100.7560975609756,98.41463414634147,103.09756097560975,8626.0,4489.0,4137.0,8262.0,4035.0,4227.0,23.9390243902439,24.75609756097561,23.121951219512194,23.621951219512194,21.902439024390244,25.341463414634145,1963.0,1015.0,948.0,1937.0,898.0,1039.0,45.26829268292683,46.68292682926829,43.853658536585364,43.548780487804876,42.707317073170735,44.390243902439025,3712.0,1914.0,1798.0,3571.0,1751.0,1820.0,52.0,30.0,0.6341463414634146,36.0,5.0,0.8780487804878049,16.0,25.0,0.3902439024390244
0,1610612743.0,DEN,2003.0,97.21951219512195,100.51219512195122,93.92682926829268,96.14634146341463,93.7560975609756,98.53658536585365,7972.0,4121.0,3851.0,7884.0,3844.0,4040.0,21.878048780487806,25.463414634146343,18.29268292682927,23.548780487804876,24.0,23.097560975609756,1794.0,1044.0,750.0,1931.0,984.0,947.0,42.31707317073171,43.926829268292686,40.707317073170735,42.9390243902439,43.707317073170735,42.170731707317074,3470.0,1801.0,1669.0,3521.0,1792.0,1729.0,43.0,39.0,0.524390243902439,29.0,12.0,0.7073170731707317,14.0,27.0,0.34146341463414637
0,1610612745.0,HOU,2003.0,89.78048780487805,90.8780487804878,88.6829268292683,88.04878048780488,86.41463414634147,89.6829268292683,7362.0,3726.0,3636.0,7220.0,3543.0,3677.0,19.25609756097561,20.48780487804878,18.024390243902438,20.597560975609756,20.048780487804876,21.146341463414632,1579.0,840.0,739.0,1689.0,822.0,867.0,42.609756097560975,43.63414634146341,41.58536585365854,39.73170731707317,38.4390243902439,41.02439024390244,3494.0,1789.0,1705.0,3258.0,1576.0,1682.0,45.0,37.0,0.5487804878048781,27.0,14.0,0.6585365853658537,18.0,23.0,0.43902439024390244
0,1610612746.0,LAC,2003.0,94.76829268292683,96.14634146341463,93.39024390243902,99.35365853658537,98.14634146341463,100.5609756097561,7771.0,3942.0,3829.0,8147.0,4024.0,4123.0,20.158536585365855,21.048780487804876,19.26829268292683,22.853658536585368,22.902439024390244,22.804878048780488,1653.0,863.0,790.0,1874.0,939.0,935.0,43.47560975609756,43.170731707317074,43.78048780487805,41.353658536585364,40.609756097560975,42.09756097560975,3565.0,1770.0,1795.0,3391.0,1665.0,1726.0,28.0,54.0,0.34146341463414637,18.0,23.0,0.43902439024390244,10.0,31.0,0.24390243902439024
0,1610612747.0,LAL,2003.0,98.1951219512195,99.17073170731707,97.21951219512195,94.29268292682927,89.6829268292683,98.90243902439025,8052.0,4066.0,3986.0,7732.0,3677.0,4055.0,23.75609756097561,24.634146341463413,22.878048780487806,20.829268292682926,19.878048780487806,21.78048780487805,1948.0,1010.0,938.0,1708.0,815.0,893.0,43.1219512195122,44.19512195121951,42.048780487804876,42.4390243902439,41.41463414634146,43.46341463414634,3536.0,1812.0,1724.0,3480.0,1698.0,1782.0,56.0,26.0,0.6829268292682927,34.0,7.0,0.8292682926829268,22.0,19.0,0.5365853658536586
0,1610612748.0,MIA,2003.0,90.26829268292683,93.09756097560975,87.4390243902439,89.7439024390244,88.02439024390245,91.46341463414635,7402.0,3817.0,3585.0,7359.0,3609.0,3750.0,19.085365853658537,18.682926829268293,19.48780487804878,18.609756097560975,16.365853658536587,20.853658536585368,1565.0,766.0,799.0,1526.0,671.0,855.0,41.451219512195124,42.02439024390244,40.8780487804878,41.19512195121951,40.292682926829265,42.09756097560975,3399.0,1723.0,1676.0,3378.0,1652.0,1726.0,42.0,40.0,0.5121951219512195,29.0,12.0,0.7073170731707317,13.0,28.0,0.3170731707317073
