1,GSW Warriors
2,CLE Cavaliers
3,BOS Celtics
4,HOU Rockets
5,TOR Raptors
6,PHI 76ers
7,UTA Jazz
8,NOP Pelicans
9,IND Pacers
10,SAS Spurs
11,POR Trail Blazers
12,OKC Thunder
13,DEN Nuggets
14,WAS Wizards
15,MIA Heat
16,MIN Timberwolves
17,LAC Clippers
18,LAL Lakers
19,Mil Bucks
20,BKN Nets
21,DET Pistons
22,CHA Hornets
23,CHI Bulls
24,NYK Knicks
25,SAC Kings
26,ATL Hawks
27,DAL Mavericks
28,ORL Magic
29,MEM Grizzlies
30,PHX Suns
